Coverage: 9.14%

LLVM-COV REPORT:
Filename                                                                  Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
opt/homebrew/lib/QtCore.framework/Headers/qfunctionaltools_impl.h               1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qhash.h                               3                 3     0.00%           3                 3     0.00%          23                23     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qhashfunctions.h                     29                29     0.00%          29                29     0.00%          71                71     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qjsonarray.h                         75                66    12.00%          73                66     9.59%          84                77     8.33%           4                 1    75.00%
opt/homebrew/lib/QtCore.framework/Headers/qjsondocument.h                       2                 2     0.00%           2                 2     0.00%           5                 5     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qjsonobject.h                        76                76     0.00%          76                76     0.00%          87                87     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qjsonvalue.h                         60                49    18.33%          60                49    18.33%          72                61    15.28%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qlatin1stringview.h                 117               117     0.00%         117               117     0.00%         155               155     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qline.h                              47                44     6.38%          47                44     6.38%         144               136     5.56%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qlist.h                              41                18    56.10%          32                15    53.12%          47                15    68.09%           4                 4     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qlocale.h                            28                28     0.00%          28                28     0.00%          28                28     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qlogging.h                            5                 3    40.00%           5                 3    40.00%           5                 3    40.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qmargins.h                           63                63     0.00%          63                63     0.00%         196               196     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qmath.h                              25                25     0.00%          25                25     0.00%         130               130     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qmetacontainer.h                     35                35     0.00%          35                35     0.00%         134               134     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qmetatype.h                          75                75     0.00%          75                75     0.00%         647               647     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qminmax.h                            16                 6    62.50%           4                 1    75.00%          12                 6    50.00%           8                 5    37.50%
